,0
30,현재나 가까운 미래에 인공지능이 더욱더 우리 생활에 중요한 역할을 차지할 것이라는 사실에는 누구나 이제는 인정하는 분위기이지만
31,인공지능 탄생의 역사와 배경 그리고 What과 How를 일반인의 눈높이에서 친절히 설명할 수 사람이나 책들은 찾기가 쉽지 않다
32,야사와 만화라는 기법으로 친구에게 한편의 소설을 자연스럽게 이야기해주는 것같이 쉽게 인공지능과 친해질 수 있도록 도와주는 모두를 위한 귀중한 책이다
33,심영대 주 광영EMC 사장 전 아시아나IDT 연구소장
34,저자는 정보행동과학을 전공하며 인지심리학 행동과학실험 수리언어학 컴퓨터과학 등을 배우고 인간 행동을 마르코프 과정을 통해 모델화하거나 인지 과정을 컴퓨터로 모의하는 연구를 했다
35,그리고 전자 제품 제조업체에 입사하여 음성 인식 음성 합성 언어 처리 사용자 인터페이스 등을 연구하며 인간 연구와 공학적 응용 연구를 담당해 오고 있다
36,이러한 배경을 토대로 이 책에서 인간의 특성과 정보를 처리하는 과정에 관한 지식을 폭넓고 체계적으로 정리했다
37,인지과학의 범위를 감각 지각 인지 기억 주의 지식 문제 해결 의사 결정 창조 언어 이해 정동 사회적 인지 커뮤니케이션으로 설정하고 그림을 풍부하게 사용하여 쉽게 접근하고 가능한 명확하고 상세하게 설명하고자 했다
38,즐겁게 읽어나가다 보면 인지과학이 무엇인지 인지과학이 왜 필요한지 다른 분야에서 인지과학을 어떻게 활용할 수 있는지 이해할 수 있을 것이다
39,대한민국 인터넷 주년
40,허진호 송재경 대표 추천 정재승 교수 대담 수록
41,년 세계 두 번째 인터넷 구축의 주인공이자 인터넷 명예의 전당에 헌액된 아시아 인터넷의 아버지 재일한국인 출신의 코즈모폴리턴 NASA의 시스템엔지니어 전설적인 SA랩을 이끌던 카이스트 교수 국내 최초로 마터호른 북벽에 오른 산악인 전길남 한국에서 기적과도 같았던 세계 두 번째 인터넷 구축은 어떤 토대 위에서 가능했는가 그것의 진정한 의미와 우리 사회에 던지는 메시지는 해결 불가능해 보이는 과제를 풀어가는 시스템공학적 접근법이란 무엇인가 인터넷의 지속가능성 누구도 소외되지 않는 공정한 네트워크를 만들기 위한 방법부터 기술통제의 문제와 인공지능의 미래까지 시대를 앞서가며 길을 개척한 매력적인 인물 전길남과 그의 삶의 방식을 소개하는 최초의 책
42,출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다
43,윈도우 의 경우 사운드 연결이 없을시 동영상 재생에 오류가 발생할 수 있습니다
44,이어폰 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다
45,카카오ㆍ현대자동차 인공지능 팀장이 들려주는 세상에서 가장 쓸모 있는 IT 안내서
46,디지털 기술 시대에 살아남기 위한 교양으로서의 인공지능 수업
47,최근 모나리자의 실제 얼굴이 화제에 올랐다
48,옅은 눈썹에 묘한 미소를 지은 얼굴은 수많은 관람객의 상상에만 존재하던 모나리자의 모습이었다
49,모나리자의 사진을 찾아내기라도 한 걸까 실은 이 이미지를 만든 건 인공지능이다
50,한 콘텐츠 크리에이터가 인공지능 프로그램 아트브리더와 딥페이크 기술을 활용하는 페이스앱을 이용해 구현한 것이다
51,이제 인공지능 기술은 누구나 놀라운 결과물을 낼 수 있게 하는 도구가 되었다
52,AI가 처음 세상에 알려지기 시작했을 때는 인공지능이 인간을 일자리에서 모조리 내몰 거라는 두려움도 있었다
53,하지만 실제로 인공지능 의사나 기자가 등장하고 이들을 현장에서 경험해본바 이제는 기대의 목소리가 커지고 있는 것이 사실이다
54,실제로는 인공지능이 인간을 대체하기보다는 인간이 인공지능 기술을 도구 삼아 업무의 효율을 높이고 고도화하는 방향으로 가리라는 것이다
55,이 책 비전공자도 이해할 수 있는 인공지능 지식 은 이처럼 인공지능이란 도구가 주어진 시대에 다양한 사람이 인공지능을 이해하고 자신의 분야에서 활용할 수 있게 돕기 위해 쓰였다
56,관련 공부를 해본 적 없는 사람들 과학ㆍ수학이 낯선 문과생까지도 인공지능 기술의 역사와 원리를 이해할 수 있게 교양 수준으로 쉽게 풀어냈다
57,저자는 인공지능 기술을 곧 우리 삶 전반에서 일상적으로 활용하게 될 것이라고 말한다
58,처음에 특정 집단만 사용했던 스마트폰이 채 년도 되지 않아 우리나라 성인 가 사용하게 된 것처럼 말이다
59,이제는 마냥 인공지능을 두려워하거나 어려워할 게 아니라 농업부터 사무직까지 어떤 분야에서든 인공지능을 접목하고 활용해 줄 아는 사람만이 시대의 요구에 따라갈 수 있다고 말한다
60,저자는 카카오에서 챗봇을 다음에서 검색엔진을 만들었고 지금은 현대자동차 AI팀 리더를 맡고 있는 인공지능 기술 현장의 전문가다
61,이러한 경험을 바탕으로 저자는 인공지능을 둘러싼 추상적인 이야기가 아닌 실제로 현실을 바꾸고 있는 가장 쓸모 있는 인공지능 이야기를 우리에게 들려준다
62,아울러 어려운 수식 대신 컷이 넘는 그림이 이해를 돕는다
63,개발자로 일하다 IT 전문 일러스트레이터가 된 정진호 저자는 인공지능의 원리를 간단한 그림으로 누구나 쉽게 이해할 수 있게 풀어냈다
64,지금도 일상에서 보이지 않는 곳에서는 인공지능 기술이 활약하고 있다
65,그리고 이러한 쓰임은 점점 더 커질 것이다
66,따라서 지금 우리에게 필요한 건 인공지능을 향한 두려움이 아니라 그것의 유용함을 깨닫고 이해하는 것이다
67,이 책을 읽고 자신이 공부하고 일하는 분야에서 인공지능을 어떻게 접목할지 고민할 때 그것은 그 자체로 새로운 기회가 될 것이다
68,이 책은 가지 알고리즘을 통해 파이썬 프로그래밍 입문을 막 끝낸 사람이 기초 알고리즘 학습에 어떻게 접근해야 하는지 알려줍니다
69,또한 파이썬 프로그래밍을 공부한 지 오래된 사람을 위해 파이썬 프로그래밍과 자료구조의 기초를 복습할 수 있도록 도와줍니다
70,코딩 테스트나 기술 면접에 대비해 알고리즘을 배운다면 코드의 처리 성능을 나타내는 시간 복잡도까지 알 필요가 있습니다
71,시간 복잡도는 기술 면접의 단골 질문이며 똑같이 문제를 해결했더라도 시간 복잡도를 고려해 코드를 작성한 사람이 좋은 개발자로 성장할 가능성이 크다고 평가하기 때문입니다
72,따라서 처리 성능이 좋은 알고리즘 코드를 작성할 때 시간 복잡도의 개념을 어떻게 활용하는지 소개해 기술 면접이나 코딩 테스트를 준비하는 사람에게도 도움이 되도록 합니다
73,출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다
74,윈도우 의 경우 사운드 연결이 없을시 동영상 재생에 오류가 발생할 수 있습니다
75,이어폰 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다
76,국내 최초이자 유일한 컨플루언트 공인 아파치 카프카 강사 Confluent Certified Trainer for 아파치 Kafka 와 공인 관리자 자격 Confluent Certified Administrator for 아파치 Kafka 을 보유한 카프카 데이터 플랫폼의 최강자 저자 고승범이 SKT 카카오 등 국내 최대 규모의 데이터 플랫폼상에서 카프카를 운영하며 쌓아온 현업 경험과 노하우를 이 책에 모두 담아냈다
77,대량의 데이터를 손실없이 빠르고 정확하게 처리하고 싶다면 정답은 카프카
78,풍부한 그림으로 쉽고 빠르게 이해하는 카프카의 내부 구조와 동작 방식부터 카프카 클라이언트의 기본이 되는 예제 코드와 실제 운영에서 필요한 핵심 노하우는 물론이고 일 안전한 카프카를 운영할 수 있는 보안과 모니터링 기법 운영 편의성과 효율성을 극대화할 수 있는 스키마 레지스트리와 카프카 커넥트까지 카프카에 대한 모든 것을 담은 가장 완벽하고 상세한 최고의 가이드북이다
79,출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다
80,윈도우 의 경우 사운드 연결이 없을시 동영상 재생에 오류가 발생할 수 있습니다
81,이어폰 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다
82,년 출간 이후 년 동안 네트워크 분야 베스트셀러 위를 지키고 있는 후니의 쉽게 쓴 시스코 네트워킹 의 개정판 th Edition 은 최신 네트워크 기술과 장비의 변화 내용을 한번에 이해할 수 있도록 확 바뀐 디자인과 일러스트로 한층 더 쉽고 체계적으로 구성하였다
83,또한 기존의 탄탄했던 네트워크 이론과 함께 배운 내용을 토대로 한 실전 문제 로 깊이를 더하였고 네트워크 업계의 핫한 아이템과 이슈 시스코의 최신 무선제품을 소개하는 후니의 분 정보 를 새롭게 추가하였다
84,마지막으로 시스코 전문가 후니의 서브넷 마스크 해설과 함께 네트워크의 기초 에 대한 명쾌한 강의를 추가 제공하여 독자들이 혼자서도 충분히 네트워크를 학습할 수 있도록 하였다
85,네트워크의 기초부터 실무 적용까지 네트워크 전반을 이해하고 싶은 사람들을 위한 명실상부 최고의 네트워크 바이블이다
86,생활코딩은 일반인에게 프로그래밍을 알려주는 것을 목적으로 하는 비영리 교육 활동입니다
87,이 책은 생활코딩에서 제공하는 수업 가운데 생활코딩 자바 수업과 제어문 메서드 객체지향프로그래밍 상속 수업을 정리한 책입니다
88,이 수업은 프로그래밍을 처음 시작하는 분들의 눈높이에 맞게 만들어진 강의로서 동영상이나 텍스트만으로도 학습할 수 있게 만들어졌습니다
89,또한 무엇을 더 전달할 것인지 보다는 무엇을 덜 전달할지에 집중하여 더 많은 지식을 전달하는 대신 지식 없이도 할 수 있는 방법을 안내합니다
90,이 수업이 끝나면 거대한 IT 프로젝트나 안드로이드 앱을 만들 수 있는 기본기가 갖춰질 것입니다
91,직장인을 위한 실무 엑셀 은 엑셀 모든 버전에서 사용 가능한 실무 예제로 업무를 빠르게 처리할 수 있는 필수 팁만 쏙쏙 뽑아 알려주는 책이다
92,실무에서 가장 유용한 함수와 분석 기능 뿐만 아니라 분석 결과를 가장 효과적으로 보이게 할 수 있는 표와 차트 활용법을 알려준다
93,책은 엑셀의 기본 기능만 알고 있다면 혼자서도 충분히 따라할 수 있도록 친절하게 설명해 준다
94,다양한 팁과 수식의 기본 원리부터 하나하나 체계적으로 익히면서 엑셀의 전반적인 기능을 둘러볼 수 있도록 구성했다
95,또한 작업을 하다가 갑자기 필요한 기능이 있다면 목차나 색인을 참조해서 사진처럼 원하는 기능을 톡톡 빼서 볼 수 있도록 했다
96,자신만의 주식 시스템을 개발하고 운영해 보고 싶은 독자를 위해 준비했습니다 파이썬을 이용해 데이터를 수집 저장 가공 분석하는 방법부터 리액트를 이용해 사용자의 화면까지 개발하는 방법까지 한 권에 담았다
97,이 책을 차근차근 진행해 본다면 자신만의 HTS를 만들어 볼 수 있을 것이다
98,이 책에서 다루는 내용
99,증권사 이베스트 에서 제공하는 API를 이용해 파이썬으로 거래 자동화 시스템을 개발한다
100,외부로 기능을 제공하기 위한 레스트풀 API 서버를 구현한다
101,리액트를 이용해 웹과 앱에 필요한 화면을 만들어 본다
102,데이터 분석에 필요한 기본적인 방법을 익히고 퀀트 전략을 구현해 본다
103,시간 자동으로 주식을 분석하고 거래하는 시스템을 구축하는 방법을 배우고 나머지 시간은 더 멋지게 보내고 싶은 분들을 위한 책입니다
104,프로그램을 처음 접하는 초보자부터 IT 업계에 종사하는 개발자까지 모두가 볼 수 있게 쉽게 구성하였으며 저자가 실제로 사용 중인 주식 자동화 알고리즘을 기반으로 설명하고 있습니다
105,이 책에서 다루는 내용
106,증권사에서 제공하는 API로 주식을 분석하고 시간 자동으로 매매하는 프로그램을 구축한다
107,HTS의 조건검색식을 파이썬에서 사용하는 방법을 배운다
108,주식을 처음 접하는 독자를 위해서 시스템 구축에 필요한 내용을 기초부터 살펴본다
109,예제 코드와 함께 제공되는 동영상 강의를 통해서 빠르고 쉽게 학습할 수 있다
110,매수 신호를 포착하는 백테스팅 분석법도 다룬다
111,출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다
112,윈도우 의 경우 사운드 연결이 없을시 동영상 재생에 오류가 발생할 수 있습니다
113,이어폰 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다
114,애자일 조직에 날개를 달아줄 가지 협업 도구의 활용 방법을 담았다
115,노션 트렐로 구글 드라이브 워드프레스 매터모스트와 같은 무료 협업 도구의 기능뿐만 아니라 실제 조직에 어떻게 적용하는지 도구의 여러 기능 중 해당 조직에 어떤 기능이 특히 유용한지에 초점을 맞춰 설명한다
116,협업 도구 자체의 사용 방법보다는 도입의 필요성과 적용 과정을 고민하는 분들에게 추천한다
117,여러 조직에 협업 도구를 도입한 저자의 실제 사례를 담았다
118,신사업 스타트업 개발 조직 등 다양한 형태의 조직에 협업 도구를 도입하고 안정적인 협업 문화를 조성하기 위해 노력한 저자의 경험을 소개한다
119,여러 상황과 조직에 맞는 베스트 툴을 찾기 위해 실제 현장에서 먼저 발로 뛴 사례가 모두 담겨 있으니 이 책을 읽고 영리하게 적용하기만 하자
120,공동의 목표를 위해 팀원과 동료를 설득하는 팁까지 소개한다
121,협업 도구를 실제 조직에 적용하기 위해선 매뉴얼 이전에 구성원에게 협업 도구의 필요성을 이해시켜야 하고 궁극적으로 그들의 공감을 얻어내야 한다
122,이 책은 조직에 어떤 변화를 꾀하고자 할 때 만나게 될 팀의 반발과 이를 설득하는 팁 그리고 성과를 공유하고 유지하는 방법까지 담았다
123,출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다
124,윈도우 의 경우 사운드 연결이 없을시 동영상 재생에 오류가 발생할 수 있습니다
125,이어폰 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다
126,출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다
127,윈도우 의 경우 사운드 연결이 없을시 동영상 재생에 오류가 발생할 수 있습니다
128,이어폰 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다
129,출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다
130,윈도우 의 경우 사운드 연결이 없을시 동영상 재생에 오류가 발생할 수 있습니다
131,이어폰 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다
132,출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다
133,윈도우 의 경우 사운드 연결이 없을시 동영상 재생에 오류가 발생할 수 있습니다
134,이어폰 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다
135,머신러닝을 시스템에 도입하고 유용하게 활용하기 위해서는 그에 맞는 설계나 구현이 필요하다
136,이 책은 머신러닝을 실제 시스템에 탑재해 운용하기 위한 노하우를 기록한 사례집이자 머신러닝 시스템의 디자인 패턴을 모아 놓은 해설서이다
137,머신러닝 시스템의 그랜드 디자인 및 머신러닝 시스템을 파이썬으로 구현한 예를 설명함과 동시에 머신러닝을 실제로 활용하기 위한 방법론이나 운용 개선 노하우 등에 관해서 기술한다
138,또한 도커와 쿠버네티스를 활용해 코드의 재현성도 보장하고 있다
139,머신러닝의 학습부터 평가 QA를 수행하고 추론기를 릴리스해서 운용하는 일련의 흐름을 아키텍처와 코드를 곁들여 설명한다
140,이 책에서 다루는 내용
141,머신러닝을 실용화하기 위한 방법에 관해 알아본다
142,파이썬을 활용한 머신러닝 워크플로와 웹 애플리케이션 개발의 개요를 배운다
143,머신러닝을 도입한 시스템의 운용 노하우를 익힌다
144,머신러닝 시스템의 트러블 슈팅과 장애 대응 방법을 습득한다
145,텍스트 마이닝에는 자연어 처리 통계 딥러닝 기법에 대해 많은 지식이 필요하지만 이론적인 내용에 얽매이다 보면 정작 구현은 너무 먼 이야기가 되어 버리기 쉽다
146,이 책에서는 실무에 바로 적용할 수 있는 실전적인 예제를 중심으로 텍스트 마이닝을 설명한다
147,특히 초보자를 위해 텍스트 전처리 과정의 개념과 다양하고 상세한 활용방법을 기초부터 설명한다
148,문서 분류와 감성 분석 같은 텍스트 마이닝 작업을 대상으로 다양한 머신러닝 기법을 사용하는 예를 보여주며 차원을 축소하고 결과를 시각화하는 방법 토픽 모델링을 수행하고 토픽 트렌드를 구해서 시각화하는 방법을 설명한다
149,기본적인 딥러닝 기법을 이용한 문서 분류 외에 최근 많이 사용되는 BERT를 이용한 미세조정학습까지 포함한다
150,또한 한국어 문서 분석에 자신을 갖도록 대부분의 장에 관련 예제를 충분히 다뤘다
151,이 책에서 다루는 내용
152,토큰화 어간 추출 표제어 추출 불용어 처리 품사 태깅과 같은 텍스트 전처리 기법
153,단어 빈도 그래프 워드 클라우드 그리기
154,카운트 벡터 텐서플로우 IDF 벡터로 문서를 변환하고 문서 간 유사도 구하기
155,다양한 머신러닝 딥러닝 기법으로 문서 분류와 감성 분석 수행
156,KoNLPy를 이용해 한국어 문서를 변환하고 다양한 머신러닝 알고리즘으로 분석
157,문서 벡터의 차원 축소 LDA 토픽 모델링 토픽 트렌드를 구하고 시각화
158,단어 Vec ELMo와 같은 워드 임베딩 기법과 Doc Vec의 이해
159,BERT의 이해와 활용 파이토치를 이용한 미세조정 학습의 실습 한국어 문서에 대한 BERT 사용법 실습
160,인공지능 기술의 발전에 따라 사이버 보안의 기술도 새로운 측면으로 발전하고 있다
161,다양한 사이버 보안 응용에 머신러닝을 적용하는 방법을 소개하며 여 가지의 파이썬 코드를 통해 사이버 보안이 직면한 도전적인 문제에 대한 솔루션을 제공해 관련 종사자들이 필요한 기술을 습득할 수 있다
162,SW 개발자가 되는 첫걸음
163,SW가 왜 중요한지를 깨닫는 일은 이제 어렵지 않습니다
164,SW 개발은 이미 우리 일상생활의 여러 측면에 직접적인 영향을 미치기 때문입니다
165,SW 기술의 발전은 미래 생활뿐만 아니라 전체 산업을 완전히 변화시킬 것입니다
166,SW 개발이 현대 사회에서 중요한 이유는 기업의 진화를 보면 잘 알 수 있습니다
167,SW를 기반으로 한 회사들이 이익과 가치를 더 많이 창출하고 과거 제조업으로 시작한 기업들도 다투어 SW와 융합하고 있습니다
168,이제 모든 비즈니스에 SW 개발이 필요합니다
169,이렇게 SW의 수요는 많아지지만 이를 공급할 개발자는 부족합니다
170,사물 인터넷 빅데이터 인공지능 블록체인 등 새로운 기술의 발전과 함께 거의 모든 기업이 IT 운영을 확장하고 가능한 모든 것을 자동화하려는 열망을 가지고 있기 때문입니다
171,SW 개발은 한마디로 프로그래밍 언어를 사용하여 기업의 업무나 서비스에 사용될 SW나 상품에 탑재할 SW를 만드는 작업입니다
172,따라서 SW 개발자가 되려면 구상 설계 코딩 문서화 테스트 버그 수정과 같은 여러 단계의 작업을 알아야 하며 이러한 단계를 구성하는 SW 개발에 대한 여러 접근 방식을 이해하고 훈련받아야 합니다
173,SW 개발은 전통적으로 선형 단계로 나누어진 폭포수 모델을 사용하였습니다
174,요구 분석 설계 구현의 각 단계는 이전 단계의 결과물을 기반으로 차례로 작업하였습니다
175,오늘날 애자일 개발 모델은 부족한 SW 개발에 대한 혁신적인 접근 방식으로 적용되고 있습니다
176,실행 코드 중심 테스트와 개발 병행 사용자와 개발자의 공동 노력 등을 강조하는 반복 개발 방법입니다
177,이 책은 효과적인 데이터 파이프라인을 만들고 유지하는 방법을 설명하고 있으며 이를 통해 여러분은 다양한 데이터 소스의 집계 데이터 레이크와의 연결 및 클라우드 배포를 포함해서 가장 일반적인 사용법을 확인할 수 있습니다
178,각 장의 설명과 튜토리얼 형태의 실용적인 가이드를 통해 Airflow를 구동하는 방향성 비순환 그래프 DAG 의 모든 내용과 요구사항에 맞게 파이프라인을 커스터마이징하는 방법을 다룹니다
179,이 책은 중급 이상의 파이썬 스킬을 보유한 데브옵스 엔지니어 데이터 엔지니어 머신러닝 엔지니어 그리고 시스템 관리자를 위한 책입니다
180,Airflow 파이프라인을 DAG로 빌드하고 테스트하여 배포하는 방법
181,데이터 이동 및 변환을 자동화하는 방법
182,백필을 사용하여 과거 이력 데이터셋을 분석하는 방법
183,커스텀 컴포넌트의 개발 방법
184,운영 환경에서의 Airflow 구성 방법
185,개인 브랜딩 시대에 각별한 소통의 문이 된 블로그 어떻게 할 것인가
186,만여 구독자를 가진 인플루언서가 파헤친 블로그 상위노출의 비밀
187,효율적인 블로그 운영과 방문자 수 늘리기 노하우
188,블로그 어떻게 하는 거예요 블로그 방문자 수 어떻게 늘릴까요 포스팅하는 데 시간은 얼마나 걸리죠 키워드 잡는 방법 있나요 협찬은 어떻게 받는 거예요 블로그를 하면서 가장 많이 받는 질문이다
189,Erin쌤 으로 알려진 저자는 여행과 영어 책리뷰 주제로 여 년간 블로그를 운영해오다 대체 조지아에 뭐가 있는데요 라는 여행에세이를 출간했다
190,개인 브랜딩 시대에 각별한 소통의 문이 되고 있는 블로그를 하고 싶은데 어떻게 시작해야 할지 모르는 이들을 위해 혹은 블로그를 잘 하고 싶은데 열심히 포스팅을 해도 방문자 수가 늘지 않아 고심하는 초급ㆍ중급 블로거들을 위해 책을 쓰게 되었다
191,블로그 정체성 설정하기 제목과 닉네임 정하기 포스팅의 가지 비밀
192,블로그 확장 및 수익창출법 나만의 브랜딩이 스며들게 하는 방법
193,블로그를 왜 하고 싶나요 이 질문에서 블로그는 시작된다
194,단지 글의 저장고로서의 기능이 아닌 바에야 블로그 생리를 제대로 알고 운영한다면 블로그는 나만의 브랜드를 만들어나가고 나아가 수익창출의 기회를 얻게 하는 데 중요한 역할을 하게 될 것이다
195,따라서 이 책은
196,블로그를 시작하기 위한 준비와 기획
197,블로그 포스팅의 가지 비밀
198,블로그 관리와 확장 노하우 이렇게 세 파트로 구성되어 있다
199,블로그 정체성 설정하기부터 제목과 닉네임 정하기 상위노출을 위한 키워드 잡기 진정성 있는 포스팅하기 방문자 수 늘리기 순 방문자 수보다 높은 조회수 늘리기 나아가 블로그 확장과 수익창출에 이르기까지 구체적인 예시를 들어가며 저자만의 노하우를 아낌없이 알려준다
200,상위노출을 위한 키워드 잡기 블로그에 활용할 수 있는 다양한 정보와 풍부한 예시 블로그 플래너 수록
201,블로그의 최종 목표는 상위노출이라 해도 과언이 아닐 정도로 상위노출을 위한 키워드 잡기는 중요하다
202,한 달 만에 블로그 일 방문자 수 명 만들기 에서는 키워드 잡기 주력 포스팅하기 효자 포스팅하기 챌린지 프로그램 도전하기 등 상위노출을 위한 다양한 정보와 예시를 제공하고 있다
203,부록으로 블로그 플래너를 수록했다
204,다음과 같은 분은 꼭 이 책을 읽어보길 추천 드린다
205,블로그를 시작하려 하거나 블로그를 잘 해보고 싶은 초보 블로거
206,블로그를 운영하고 있지만 방문자 수를 늘리고 싶은 블로거
207,블로그를 마케팅 홍보 등에 활용하고 싶은 기업이나 개인사업자 마케터
208,블로그를 통해 개인 브랜딩 확장이나 수익창출을 꾀하는 블로거
209,개 작품을 직접 만들며 튼튼한 코딩 근육을 키워 보자
210,이 책에서는 초등 SW 교과서 저자이자 엔트리 개발에 참여한 송쌤과 함께 애니 예술 생활 수학 과학 게임 등 다섯 가지 분야의 다양한 게임을 엔트리로 만들어 봅니다
211,완성 작품을 살펴보고 상세한 코드 설명과 해설을 읽다 보면 학습자 스스로 엔트리 명령어 블록을 끼워 맞추면서 작품을 만들어 나갑니다
212,엔트리 작품을 만드는 과정에서 학습자는 자연스럽게 프로그래밍 개념을 익히고 컴퓨팅 사고력을 한 단계 높일 수 있습니다
213,출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다
214,윈도우 의 경우 사운드 연결이 없을시 동영상 재생에 오류가 발생할 수 있습니다
215,이어폰 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다
216,WSL 리눅스용 윈도우 하위 시스템 을 사용하면 윈도우 애플리케이션과 기본적인 리눅스 도구를 함께 실행할 수 있습니다
217,애플리케이션을 윈도우와 리눅스에서 동시에 개발하거나 윈도우 환경에 더 다양한 도구를 추가해서 사용하고 싶을 때 WSL을 사용하면 그 한계를 넘어설 수 있습니다
218,이 책에서는 WSL이 무엇인지 친절하게 설명하고 다양한 리눅스 배포판을 WSL에 설치하고 구성하는 방법을 살펴봅니다
219,그런 후에 윈도우 환경과 리눅스 환경을 동시에 사용해서 개발하는 방법을 살펴봅니다
220,그리고 새로 나온 윈도우 터미널을 설치하는 방법과 이를 사용자에게 맞게 구성하는 방법 또한 WSL과 비주얼 스튜디오 코드를 연동해 코드를 작성하는 방법도 다룹니다
221,그 밖에도 도커와 쿠버네티스 기반의 컨테이너를 사용해 일하는 방법과 비주얼 스튜디오 코드를 사용해 개발 환경을 컨테이너 형태로 만드는 방법도 안내합니다
222,이 책을 다 읽고 나면 여러분은 기본 사용 환경에 맞춰 WSL과 윈도우 터미널을 구성한 후에 비주얼 스튜디오 코드를 사용해 WSL 애플리케이션을 개발할 수 있을 것입니다
